account_id,client_id,account_type,balance
1,1173,Brokerage,876357.77
2,4134,Savings,128733.49
3,714,Retirement,832521.76
4,4496,Retirement,168884.8
5,3656,Savings,482686.38
6,4430,Savings,244112.64
7,1397,Brokerage,700209.09
8,865,Retirement,993368.11
9,240,Savings,
10,2675,Retirement,766542.52
11,1806,Brokerage,258370.91
12,3902,Brokerage,123975.01
13,1113,Brokerage,633914.64
14,4031,Savings,795744.92
15,2727,Savings,931848.18
16,4921,Savings,644342.55
17,3089,Brokerage,743224.85
18,3127,Brokerage,642460.1
19,4604,Retirement,808639.03
20,1832,Retirement,116574.28
21,719,Savings,90050.29
22,4852,Savings,744873.13
23,952,Brokerage,368369.29
24,2568,Retirement,577339.92
25,14,Retirement,62823.05
26,4388,Savings,847271.48
27,3471,Retirement,
28,1035,Brokerage,664079.03
29,4840,Savings,107479.34
30,76,Brokerage,852509.66
31,2589,Savings,816331.81
32,2432,Savings,500332.83
33,3734,Savings,601863.95
34,1195,Brokerage,665685.35
35,282,Brokerage,320819.22
36,4116,Brokerage,
37,4702,Retirement,631446.0
38,1768,Retirement,292203.61
39,3086,Savings,981161.65
40,2730,Savings,828056.81
41,1726,Brokerage,934498.47
42,1844,Brokerage,735989.85
43,1467,Retirement,727668.07
44,2451,Brokerage,912464.0
45,1305,Savings,548394.97
46,2765,Retirement,678220.79
47,2854,Retirement,391672.03
48,4325,Brokerage,283756.83
49,1599,Brokerage,856395.97
50,3226,Savings,131769.78
51,4755,Savings,849959.91
52,2491,Retirement,654979.35
53,4729,Savings,442441.86
54,3953,Retirement,897320.87
55,1719,Savings,804554.08
56,1603,Brokerage,651586.76
57,2968,Brokerage,856285.15
58,836,Brokerage,785713.75
59,1210,Retirement,950447.76
60,3499,Brokerage,841818.43
61,462,Savings,356228.27
62,3882,Savings,945118.13
63,962,Brokerage,650447.71
64,4862,Retirement,969757.25
65,3310,Savings,34958.83
66,1974,Retirement,489137.27
67,4884,Savings,653144.17
68,3076,Brokerage,991172.8
69,735,Retirement,865030.89
70,3131,Retirement,632701.18
71,3647,Retirement,12590.82
72,956,Savings,122929.51
73,4176,Savings,24003.73
74,4694,Brokerage,480018.87
75,775,Brokerage,181915.5
76,3967,Brokerage,703034.25
77,2445,Brokerage,126111.2
78,2665,Savings,714054.38
79,4404,Savings,405925.18
80,162,Retirement,
81,4395,Brokerage,489074.7
82,4251,Brokerage,539442.8
83,1017,Savings,965715.36
84,962,Savings,862141.44
85,1475,Savings,555167.05
86,2575,Savings,40104.02
87,4712,Savings,652987.86
88,720,Brokerage,257503.72
89,287,Savings,979948.51
90,4147,Retirement,364196.08
91,4460,Savings,423628.28
92,1,Savings,301299.38
93,4256,Retirement,659498.42
94,3645,Savings,577494.4
95,2564,Brokerage,910872.37
96,2885,Brokerage,538671.28
97,1720,Brokerage,99910.12
98,367,Savings,37697.22
99,1161,Retirement,856229.09
100,1764,Savings,602542.24
101,1770,Brokerage,359706.1
102,1053,Brokerage,622690.43
103,610,Brokerage,255712.4
104,3128,Brokerage,903756.27
105,3278,Retirement,84170.82
106,2083,Brokerage,425918.02
107,1174,Brokerage,204559.13
108,2207,Brokerage,697106.13
109,1579,Brokerage,372770.12
110,4190,Brokerage,164879.03
111,1258,Retirement,992456.54
112,3553,Retirement,
113,4945,Savings,78447.07
114,1021,Brokerage,110880.14
115,4493,Retirement,66893.4
116,729,Retirement,909336.14
117,2239,Savings,868986.52
118,1850,Retirement,
119,3090,Savings,379253.72
120,861,Savings,176555.64
121,2512,Brokerage,821521.91
122,4011,Savings,529431.16
123,4688,Retirement,
124,4977,Savings,896673.67
