investment_id,account_id,security_name,investment_type,quantity,purchase_price
1,6219,Microsoft,Bond,835,943.92
2,6130,Amazon,Bond,390,1036.26
3,1223,Microsoft,Stock,377,1163.7
4,5427,Microsoft,ETF,191,1310.23
5,1302,Microsoft,Stock,735,809.42
6,14,Apple,ETF,224,239.85
7,3060,Tesla,Stock,448,1348.43
8,4213,Google,Bond,549,1093.96
9,5583,Amazon,Bond,929,620.16
10,4057,Microsoft,Stock,626,1424.14
11,2282,Google,ETF,225,724.65
12,2203,Netflix,Bond,589,494.93
13,4710,Amazon,Bond,151,128.23
14,2928,Netflix,Stock,84,1407.07
15,2641,Google,ETF,807,1066.59
16,4913,Netflix,Stock,946,759.39
17,5101,Amazon,Bond,551,1065.72
18,2265,Apple,ETF,66,1061.57
19,2385,Microsoft,Bond,701,1332.11
20,1282,Amazon,Bond,331,1143.31
21,6874,Netflix,ETF,121,1186.96
22,5070,Amazon,Bond,264,508.62
23,2198,Microsoft,Bond,365,1182.82
24,590,Google,ETF,447,472.91
25,915,Microsoft,Bond,452,798.79
26,3497,Tesla,ETF,9,1371.14
27,409,Microsoft,Stock,360,1107.23
28,6703,Tesla,Stock,856,174.28
29,6425,Tesla,Stock,88,1140.32
30,2682,Microsoft,Bond,668,962.56
31,1414,Google,Stock,130,791.25
32,6221,Microsoft,ETF,221,464.91
33,5430,Microsoft,Stock,492,578.54
34,4533,Apple,ETF,644,784.65
35,2082,Amazon,ETF,711,83.48
36,679,Netflix,ETF,995,60.04
37,67,Tesla,Stock,932,457.02
38,42,Apple,Bond,892,336.57
39,6126,Tesla,Bond,814,1322.9
40,3270,Amazon,ETF,498,165.45
41,2834,Google,Bond,280,631.08
42,130,Google,Stock,600,239.82
43,3220,Apple,ETF,912,661.75
44,2190,Netflix,Bond,649,1053.77
45,4062,Tesla,Stock,645,505.81
46,1690,Amazon,ETF,874,1192.03
47,5113,Microsoft,Stock,110,902.96
48,1255,Netflix,ETF,841,1472.39
49,3349,Amazon,ETF,642,1388.98
50,1258,Microsoft,Bond,756,73.43
51,701,Google,Bond,740,1330.24
52,6428,Netflix,ETF,223,840.05
53,161,Netflix,Bond,465,516.87
54,2622,Microsoft,Stock,92,1372.14
55,3165,Tesla,Bond,267,334.14
56,4976,Google,Bond,490,965.61
57,2188,Google,ETF,405,13.77
58,4598,Microsoft,Stock,852,725.94
59,2814,Apple,ETF,801,1341.63
60,5710,Microsoft,Stock,622,762.26
61,3737,Amazon,Bond,380,112.1
62,4691,Netflix,ETF,284,455.41
63,6501,Google,ETF,800,256.16
64,1688,Netflix,Stock,440,1377.3
