security_name,date,closing_price
Netflix,2014-06-21,601.45
Microsoft,2024-12-22,393.16
Apple,2015-04-26,696.56
Microsoft,2015-05-11,1493.48
Microsoft,2018-04-02,182.08
Netflix,2024-08-28,1347.2
Amazon,2016-04-09,365.27
Google,2018-03-25,12.86
Netflix,2019-07-15,1607.25
Amazon,2014-05-07,146.38
Google,2016-12-19,1311.65
Microsoft,2015-07-18,1058.59
Tesla,2017-08-28,296.72
Microsoft,2019-11-29,1251.07
Netflix,2015-09-03,1669.37
Netflix,2016-04-27,621.2
Netflix,2019-02-19,1143.93
Microsoft,2022-12-14,1717.68
Microsoft,2019-11-09,1690.77
Microsoft,2024-06-06,1172.36
Apple,2024-05-01,1999.35
Tesla,2014-11-21,1914.88
Netflix,2016-12-21,93.38
Amazon,2021-10-07,1062.03
Amazon,2024-08-29,43.81
Netflix,2017-11-26,365.03
Google,2020-12-11,259.59
Amazon,2021-09-13,1215.24
Apple,2021-02-10,978.25
Tesla,2022-06-19,42.3
Google,2014-07-06,578.12
Tesla,2023-02-13,1130.61
Netflix,2024-11-18,176.78
Netflix,2020-12-27,1134.16
Netflix,2023-09-11,504.66
Netflix,2019-02-20,1297.95
Microsoft,2017-01-06,1093.17
Google,2014-07-26,227.31
Netflix,2020-07-26,1460.49
Netflix,2023-03-28,1894.31
Amazon,2015-01-12,564.59
Netflix,2016-05-11,965.11
Netflix,2024-12-02,1914.76
Netflix,2022-09-16,528.1
Google,2016-05-25,1301.3
Microsoft,2022-10-16,1234.97
Amazon,2022-03-12,134.17
Google,2015-07-22,794.16
Amazon,2014-04-29,608.14
Google,2019-07-27,1107.37
Microsoft,2017-12-26,95.64
Netflix,2014-02-02,937.95
Google,2017-07-01,835.56
Google,2015-07-24,1655.45
Tesla,2020-08-09,381.4
Apple,2019-09-13,596.8
Google,2018-03-23,393.59
Google,2024-07-20,805.77
Netflix,2017-04-16,890.95
Tesla,2018-02-25,1150.04
Apple,2015-05-10,1884.74
Apple,2016-12-10,1114.15
Apple,2015-06-19,383.86
Google,2021-01-17,879.0
Tesla,2024-01-19,498.58
