transaction_id,investment_id,transaction_type,transaction_date,quantity,transaction_price
1,2702,Buy,2015-04-07,98,1090.54
2,1559,Buy,2017-04-24,460,636.15
3,12821,Buy,2018-10-03,445,901.54
4,3783,Sell,2023-10-23,250,262.39
5,11151,Buy,2020-01-03,484,999.31
6,3153,Buy,2016-10-11,223,523.15
7,5245,Sell,2016-04-17,107,856.41
8,9755,Buy,2014-09-19,403,1382.0
9,14011,Sell,2023-07-28,362,
10,1259,Sell,2018-07-06,392,1061.39
11,11266,Sell,2014-09-14,40,511.39
12,16604,Sell,2014-11-21,394,353.12
13,18343,Buy,2017-08-17,158,1380.45
14,2053,Buy,2022-02-18,151,316.21
15,14294,Sell,2015-03-30,182,1038.55
16,18189,Buy,2022-01-06,23,1291.3
17,13511,Buy,2022-06-10,86,737.18
18,2814,Buy,2020-03-06,55,25.69
19,1597,Sell,2022-11-19,156,374.61
20,4146,Buy,2023-06-15,29,519.32
21,1031,Buy,2019-12-08,399,670.22
22,13074,Sell,2020-07-22,190,415.5
23,3875,Buy,2016-08-18,364,
24,11027,Buy,2021-08-21,230,329.98
25,16929,Sell,2018-05-03,44,971.49
26,12276,Buy,2023-03-16,337,288.75
27,4686,Sell,2014-02-12,279,343.54
28,3393,Buy,2020-08-12,200,866.1
29,4798,Buy,2020-10-17,480,
30,19766,Buy,2015-10-23,289,264.59
31,5582,Buy,2015-03-01,298,93.52
32,7387,Buy,2017-01-31,435,422.17
33,910,Sell,2021-01-19,85,1030.77
34,3525,Buy,2016-03-26,53,782.52
35,14789,Sell,2014-07-23,150,971.81
36,15677,Buy,2017-11-27,90,42.43
37,9819,Sell,2015-01-06,176,685.78
38,13917,Buy,2020-08-09,449,931.27
39,688,Sell,2024-01-26,391,370.09
40,7418,Buy,2020-04-21,345,644.18
41,4757,Buy,2015-04-02,235,666.38
42,12076,Buy,2021-04-21,410,681.17
43,8149,Buy,2019-05-30,381,65.66
44,3255,Buy,2022-05-06,154,1261.63
45,19855,Buy,2015-08-03,361,691.96
46,6268,Buy,2016-11-10,290,686.3
47,8504,Sell,2015-11-16,17,252.15
48,9503,Sell,2016-01-03,122,168.84
49,12070,Sell,2023-06-07,153,923.88
50,18208,Sell,2021-05-06,407,1035.77
51,13605,Sell,2014-10-26,102,921.65
52,6994,Buy,2024-12-10,416,606.95
53,9428,Sell,2015-01-30,173,92.9
54,5627,Sell,2023-03-23,142,1339.55
55,105,Buy,2015-05-24,155,1344.49
56,2471,Buy,2016-01-25,289,150.68
57,10518,Sell,2016-03-29,24,914.0
58,5634,Sell,2024-12-22,108,573.35
59,6034,Sell,2017-11-30,140,273.52
60,10568,Sell,2024-06-15,111,868.79
61,7906,Sell,2024-05-10,14,241.73
62,19025,Buy,2017-10-09,349,1357.49
63,11097,Sell,2017-04-30,246,1268.44
64,17282,Sell,2015-01-04,467,1215.03
65,14830,Sell,2017-02-05,463,497.04
66,4530,Sell,2019-07-10,285,321.62
67,17878,Sell,2020-01-29,104,245.95
68,8976,Sell,2023-12-07,414,964.65
69,13835,Buy,2022-08-23,471,110.37
70,7422,Sell,2022-06-05,114,771.49
71,7796,Sell,2023-11-19,14,616.79
72,18624,Sell,2016-04-22,346,987.37
73,9671,Sell,2015-01-06,218,1250.18
74,14995,Buy,2021-04-20,230,421.59
75,250,Sell,2016-07-25,439,480.01
76,17802,Buy,2017-10-06,231,146.35
77,13832,Sell,2015-12-16,105,279.3
78,14361,Buy,2018-11-03,302,181.01
79,16191,Sell,2019-10-19,332,1353.43
80,13336,Sell,2024-03-17,309,1252.15
81,12925,Sell,2021-04-28,375,575.02
82,10668,Sell,2023-06-11,310,221.03
83,10222,Sell,2022-08-04,191,812.74
84,14552,Buy,2024-04-19,489,
85,8240,Buy,2015-10-18,295,1155.83
86,5196,Sell,2014-05-06,142,962.35
87,13054,Buy,2023-11-30,66,1077.18
88,16911,Sell,2020-08-01,399,499.87
89,5921,Sell,2024-10-09,33,1486.67
90,3848,Buy,2015-11-01,420,877.18
91,10499,Sell,2023-09-17,15,142.05
92,19901,Sell,2020-11-18,186,1379.87
93,17080,Buy,2023-04-26,131,1494.8
94,15723,Buy,2014-10-28,88,437.84
95,2244,Buy,2018-11-26,180,261.42
96,7780,Sell,2020-02-11,314,626.37
97,7943,Buy,2014-07-11,31,81.34
98,7539,Sell,2019-11-07,485,401.46
99,16351,Buy,2016-10-11,419,723.5
100,2506,Sell,2015-07-08,437,1141.59
101,15075,Buy,2015-02-09,317,593.14
102,6099,Buy,2016-05-26,39,
103,3584,Buy,2014-11-01,324,778.51
104,15429,Buy,2017-09-11,151,674.68
105,18926,Buy,2021-03-08,66,41.29
106,518,Buy,2014-02-06,376,428.47
107,13985,Buy,2022-10-30,472,598.32
108,5914,Sell,2016-01-31,37,1373.14
109,16906,Sell,2020-11-21,236,660.19
110,344,Sell,2018-08-31,305,1201.62
111,7843,Sell,2015-10-04,53,1039.64
112,5538,Buy,2023-06-22,281,338.74
113,10398,Buy,2014-03-24,277,425.26
114,5704,Sell,2018-04-23,113,191.36
115,13577,Buy,2018-05-05,288,1469.63
116,3076,Sell,2020-12-04,64,781.5
117,225,Sell,2014-09-22,302,1475.49
118,14128,Buy,2023-03-17,243,726.06
119,5517,Sell,2015-04-14,499,80.29
120,5724,Buy,2024-05-25,397,1233.9
121,905,Sell,2022-07-02,282,55.01
122,19906,Buy,2015-09-28,200,1116.97
123,14026,Sell,2018-05-14,386,476.89
124,18194,Buy,2014-08-26,443,434.22
125,4751,Sell,2023-05-22,7,309.94
126,17771,Sell,2018-01-06,443,1183.92
127,14241,Sell,2018-08-25,459,1194.69
128,2322,Sell,2021-03-24,200,
129,8904,Sell,2023-08-06,117,780.79
130,11943,Buy,2019-07-17,336,167.76
131,9689,Buy,2018-06-27,433,1478.06
132,1026,Sell,2018-10-09,355,1190.3
133,3488,Buy,2023-08-19,13,1433.38
134,7625,Buy,2019-12-30,18,167.54
135,5490,Sell,2014-07-05,134,746.3
136,10302,Sell,2020-11-14,30,1009.21
137,17257,Sell,2014-03-13,324,1093.75
138,14993,Buy,2024-01-19,195,1106.24
139,2762,Sell,2019-08-28,130,384.74
140,9610,Sell,2022-07-14,311,1146.13
141,15285,Sell,2014-08-04,55,822.14
142,15696,Sell,2021-01-16,124,761.9
143,14282,Sell,2016-03-29,481,200.77
144,1629,Buy,2021-10-09,391,1159.61
145,9174,Sell,2018-06-18,45,823.53
146,2709,Sell,2019-10-17,418,367.44
147,2204,Buy,2020-10-11,136,373.88
148,6577,Buy,2021-05-09,420,165.54
149,3495,Buy,2024-02-09,22,905.23
150,11309,Sell,2023-06-27,272,247.18
151,19023,Sell,2017-10-01,383,1017.45
152,19800,Sell,2024-07-08,208,484.3
153,7708,Buy,2024-11-06,337,1491.03
154,17176,Buy,2023-04-19,233,1043.18
155,2937,Sell,2019-12-05,179,79.79
156,6224,Sell,2023-09-22,360,759.44
157,891,Buy,2014-09-10,36,619.75
158,4815,Buy,2022-04-15,277,1369.96
159,14879,Sell,2018-05-22,19,1310.86
160,8444,Buy,2016-05-30,372,261.51
161,14792,Buy,2024-05-08,404,566.48
162,12126,Sell,2018-08-31,66,
163,4154,Sell,2015-05-01,296,430.57
164,12129,Buy,2019-03-11,100,952.09
165,19647,Sell,2016-06-08,341,960.03
166,17230,Sell,2024-07-11,387,1327.35
167,15769,Buy,2014-04-10,362,711.0
168,16226,Buy,2018-12-10,410,37.1
169,5989,Buy,2024-07-21,183,611.9
170,983,Buy,2020-02-10,105,1116.51
171,19341,Sell,2021-09-23,456,1231.41
172,15481,Sell,2021-07-16,174,918.3
173,9127,Sell,2021-05-02,236,607.18
174,2219,Buy,2017-01-18,335,479.26
175,1007,Sell,2019-05-19,275,189.22
176,431,Sell,2017-03-29,302,1231.35
177,3391,Buy,2024-09-01,282,1225.01
178,7996,Sell,2023-01-30,116,492.06
179,15700,Buy,2018-11-23,357,148.29
180,677,Buy,2021-09-22,384,1440.07
181,10222,Sell,2020-11-29,235,1034.73
182,9194,Sell,2020-08-23,370,212.11
183,18747,Buy,2024-04-16,409,253.16
184,16982,Buy,2015-06-16,333,332.71
185,7080,Sell,2024-03-20,69,
186,19650,Buy,2019-11-17,286,741.1
187,8178,Buy,2017-04-28,443,
188,3312,Buy,2014-10-06,269,1393.9
189,2879,Sell,2015-08-18,482,400.97
190,19498,Buy,2020-08-25,455,42.8
191,18655,Sell,2018-11-11,280,268.38
192,15816,Buy,2022-06-06,341,131.56
193,16606,Sell,2016-05-13,199,368.51
194,13034,Buy,2022-12-03,231,1178.1
195,2954,Sell,2024-09-19,397,1484.87
196,11516,Sell,2020-10-26,463,1488.89
197,12664,Buy,2016-02-07,119,86.36
198,4158,Sell,2021-12-26,336,327.15
199,2167,Buy,2018-12-29,380,1183.62
200,14204,Sell,2020-05-21,198,151.69
201,9363,Sell,2022-10-29,458,1330.78
202,11666,Sell,2019-06-13,57,394.11
203,5396,Sell,2023-11-29,415,627.72
204,2024,Sell,2014-03-31,118,290.6
205,18620,Buy,2016-04-17,370,
206,7224,Buy,2020-08-04,9,901.63
207,19481,Buy,2016-03-15,302,612.77
208,3719,Sell,2024-05-10,249,472.83
209,7317,Sell,2021-08-03,65,
210,3104,Buy,2020-08-08,262,469.49
211,13084,Buy,2015-06-11,300,761.81
212,5733,Buy,2016-01-22,57,85.63
213,16078,Buy,2020-08-21,92,993.14
214,15250,Buy,2020-08-01,384,1162.59
215,13564,Sell,2016-05-01,272,778.69
216,15937,Buy,2023-03-11,116,972.35
217,7447,Buy,2020-10-15,16,1213.99
218,11741,Buy,2021-05-29,170,354.32
219,13593,Sell,2014-02-18,385,999.84
220,9218,Buy,2017-03-24,89,1051.23
221,17468,Sell,2019-04-01,422,1268.88
222,13642,Buy,2024-02-26,253,421.39
223,13701,Buy,2022-11-19,324,123.25
224,9394,Sell,2016-03-03,289,
225,2917,Sell,2018-08-06,189,1367.0
226,17323,Buy,2020-10-21,415,156.82
227,16016,Sell,2023-05-01,481,959.48
228,427,Sell,2024-02-12,210,951.62
229,8462,Buy,2024-09-27,340,121.19
230,6949,Sell,2021-01-10,104,441.07
231,7829,Sell,2022-03-21,472,129.29
232,8264,Sell,2014-10-13,124,851.54
233,11194,Buy,2016-02-16,332,1253.85
234,16349,Sell,2020-09-25,120,536.84
235,8584,Sell,2020-04-15,157,484.74
236,11666,Buy,2020-06-09,361,649.22
237,5196,Buy,2016-09-05,443,1134.87
238,6391,Buy,2022-06-20,391,1350.97
239,15797,Sell,2022-05-10,4,224.15
240,10104,Buy,2019-01-10,166,510.69
241,17177,Buy,2014-10-06,388,87.64
242,19691,Buy,2016-09-09,357,1179.53
243,13536,Sell,2015-01-26,412,1129.34
244,7372,Buy,2020-03-11,95,105.46
245,4908,Buy,2022-06-17,336,1263.24
246,2645,Buy,2016-04-01,362,922.85
247,1620,Sell,2017-07-05,409,1353.46
248,4856,Sell,2015-06-23,496,183.22
249,8839,Buy,2016-07-05,304,275.15
250,2227,Buy,2019-06-26,32,1003.22
251,19102,Buy,2016-07-08,126,1160.25
252,12215,Buy,2018-08-27,38,1204.6
253,4891,Buy,2017-01-19,355,391.19
254,5552,Sell,2017-06-15,372,29.19
255,7812,Buy,2019-10-15,403,1138.95
256,11720,Buy,2016-07-29,99,1291.86
257,11915,Buy,2019-10-24,422,550.66
258,1019,Buy,2020-08-22,133,611.01
259,16796,Sell,2014-07-30,187,549.75
260,774,Buy,2014-01-05,423,430.62
261,14267,Buy,2022-11-12,158,162.25
262,1094,Buy,2019-06-18,227,1237.95
263,8275,Buy,2022-11-21,288,647.76
264,1615,Buy,2024-07-15,152,957.37
265,10683,Buy,2019-04-04,71,
266,13837,Sell,2024-03-18,305,1476.57
267,18193,Sell,2020-08-23,156,1339.83
268,7262,Sell,2015-01-24,372,581.95
269,3806,Buy,2021-09-13,298,1164.94
270,11911,Sell,2017-01-21,147,564.8
271,17461,Sell,2015-11-03,428,884.58
272,3556,Sell,2020-02-28,268,781.03
273,6823,Sell,2014-12-18,402,1410.03
274,3077,Sell,2019-10-11,250,1092.32
275,3311,Buy,2016-07-22,303,129.42
276,13866,Sell,2014-02-21,251,1053.1
277,12695,Sell,2024-08-25,54,119.74
278,1330,Sell,2020-02-15,315,846.19
279,2514,Buy,2017-11-15,393,1298.39
280,3398,Buy,2019-08-16,138,1280.04
281,19014,Sell,2017-05-22,299,244.17
282,16042,Buy,2015-06-29,229,659.23
283,6458,Sell,2017-03-16,112,177.33
284,15674,Sell,2016-01-10,73,344.69
285,1046,Buy,2022-10-06,373,1385.38
286,5031,Sell,2018-08-19,357,22.0
287,8969,Sell,2020-04-27,311,578.65
288,7815,Sell,2021-01-14,463,749.67
289,10208,Sell,2014-04-14,74,358.38
290,2832,Sell,2019-08-09,271,1420.61
291,5549,Sell,2024-06-03,472,1159.41
292,19136,Sell,2024-08-11,169,381.41
293,4486,Sell,2017-11-29,17,882.48
294,7252,Sell,2018-11-26,74,
